Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP5,2020,21767.26,12222.49198,25826.372,40108.118,1016.888,5689.984,2058.497,44946.914,46121.937,42349.649,36148.207,55500.994,34846.585,9696.828
SSP5,2021,22205.69108,12173.97448,25618.26162,39998.40661,1026.691726,5744.840625,2078.342785,45135.07758,45545.41279,42570.27839,36258.85441,56036.0741,34936.00269,9633.66922
SSP5,2022,22642.6368,12115.65162,25389.99751,39856.10426,1036.495452,5799.697249,2098.188569,45323.24115,44968.88858,42790.90778,36369.50183,56571.15419,35025.42038,9567.518879
SSP5,2023,22903.77327,12046.79188,25140.06545,39677.63011,1046.299178,5854.553874,2118.034354,45511.40473,44392.36436,43011.53716,36480.14924,57106.23429,35114.83806,9498.376979
SSP5,2024,23119.04921,11966.80578,24867.07455,39460.9375,1056.102903,5909.410498,2137.880139,45699.5683,43815.84015,43232.16655,36590.79665,57641.31439,35204.25575,9426.243519
SSP5,2025,23327.482,11874.71643,24571.52419,39205.79308,1065.906629,5964.267123,2157.725923,45887.73188,43239.31594,43452.79594,36701.44406,58176.39449,35293.67344,9351.118499
SSP5,2026,23513.10816,11778.25765,24269.43898,38935.06127,1076.222535,6021.989644,2178.608519,46075.89545,42662.79173,43673.42533,36812.09148,58739.42898,35383.09113,9277.41709
SSP5,2027,23645.14814,11693.19486,24028.99853,38756.95083,1086.538441,6079.712165,2199.491115,46264.05903,42086.26751,43894.05471,36922.73889,59302.46348,35472.50881,9200.567832
SSP5,2028,23774.7166,11840.94227,25269.71999,40917.597,1096.854347,6137.434685,2220.373711,46452.2226,41509.7433,44114.6841,37033.3863,59865.49798,35561.9265,9120.570725
SSP5,2029,23878.54643,11472.77968,30298.25733,49225.12246,1107.170252,6195.157206,2241.256306,46640.38618,40933.21909,44335.31349,37144.03371,60428.53248,35651.34419,9037.425769
