"ID","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"1","SSP4",2020,8186.423704,5195.649612,8079.997423,14264.19784,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"2","SSP4",2021,8330.90732038962,5213.1240727966,7539.19769300036,13298.6746432207,305.89066248,1327.12752744,1308.51974864,28084.1255541,29898.277136,26780.9545179,24740.44887,22819.72531,26418.28029
"3","SSP4",2022,8475.28752587501,5222.26551174558,7019.14809934277,12372.9543782078,317.65568796,1378.17089388,1358.84743128,27800.4475182,31048.210872,26510.4398258,24740.44887,22819.72531,26418.28029
"4","SSP4",2023,8610.91917868634,5064.99811827052,6774.55789943133,11970.5865619789,329.42071344,1429.21426032,1409.17511392,27516.7694823,32198.144608,26239.9251337,24740.44887,22819.72531,26418.28029
"5","SSP4",2024,8744.25458058082,4897.4192930973,6565.31242816719,11632.2344544041,341.18573892,1480.25762676,1459.50279656,27233.0914464,33348.078344,25969.4104416,24740.44887,22819.72531,26418.28029
"6","SSP4",2025,8884.77939800924,4761.82032515519,6304.68175273163,11195.0964292193,352.9507644,1531.3009932,1509.8304792,26949.4134105,34498.01208,25698.8957495,24740.44887,22819.72531,26418.28029
"7","SSP4",2026,9009.04057492187,4630.67369640899,6018.49711584614,10709.8010742353,364.71578988,1582.34435964,1560.15816184,26665.7353746,35647.945816,25428.3810574,24740.44887,22819.72531,26418.28029
"8","SSP4",2027,9082.17126500246,4498.23696708153,5752.51646403687,10259.7589567387,376.48081536,1633.38772608,1610.48584448,26382.0573387,36797.879552,25157.8663653,24740.44887,22819.72531,26418.28029
"9","SSP4",2028,9147.08281842993,4362.00011364961,5514.92257229406,9858.47168202462,388.24584084,1684.43109252,1660.81352712,26098.3793028,37947.813288,24887.3516732,24740.44887,22819.72531,26418.28029
"10","SSP4",2029,9211.18638002424,4224.32308849304,5299.77458211244,9495.52408913408,400.01086632,1735.47445896,1711.14120976,25814.7012669,39097.747024,24616.8369811,24740.44887,22819.72531,26418.28029
"11","SSP4",2030,9279.46341316854,4122.95036884829,5108.26602223137,9147.19990937774,411.7758918,1786.5178254,1761.4688924,25531.023231,40247.68076,24346.322289,24740.44887,22819.72531,26418.28029
"12","SSP4",2031,9254.20741190794,4129.54340401038,5203.98911338185,9323.12763592874,423.54091728,1837.56119184,1811.79657504,25247.3451951,41397.614496,24075.8075969,24740.44887,22819.72531,26418.28029
"13","SSP4",2032,9233.83380193083,4167.97504747324,5315.13426129369,9500.21947792967,435.30594276,1888.60455828,1862.12425768,24963.6671592,42547.548232,23805.2929048,24740.44887,22819.72531,26418.28029
"14","SSP4",2033,9212.21142669548,4194.29633310322,5458.16643223562,9733.86184638085,447.07096824,1939.64792472,1912.45194032,24679.9891233,43697.481968,23534.7782127,24740.44887,22819.72531,26418.28029
"15","SSP4",2034,9183.36662007941,4217.76182992397,5613.85410922126,9989.46752772038,458.83599372,1990.69129116,1962.77962296,24396.3110874,44847.415704,23264.2635206,24740.44887,22819.72531,26418.28029
"16","SSP4",2035,9161.35907360879,4245.89941594096,5769.89984321269,10244.6956214789,470.6010192,2041.7346576,2013.1073056,24112.6330515,45997.34944,22993.7488285,24740.44887,22819.72531,26418.28029
"17","SSP4",2036,9280.89872246371,4385.67053728235,5793.6494361981,10222.0965532928,482.36604468,2092.77802404,2063.43498824,23828.9550156,47147.283176,22723.2341364,24740.44887,22819.72531,26418.28029
"18","SSP4",2037,9309.00106138196,4478.19928970101,5937.20022177462,10410.286069591,494.13107016,2143.82139048,2113.76267088,23545.2769797,48297.216912,22452.7194443,24740.44887,22819.72531,26418.28029
