"ID","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"1","SSP5",2020,8186.423704,4147.7821552562,8079.997423,14264.19784,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"2","SSP5",2021,8351.31274280924,4131.57167131461,8014.88834320561,14225.1796816062,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27321.9839021,24740.44887,22819.72531,26418.28029
"3","SSP5",2022,8515.64315643778,4112.04754752868,7943.4739970222,14174.5707498601,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27592.4985942,24740.44887,22819.72531,26418.28029
"4","SSP5",2023,8613.85366775443,4088.96994751667,7865.28065420085,14111.0975514425,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27863.0132863,24740.44887,22819.72531,26418.28029
"5","SSP5",2024,8694.81654679893,4062.13988309408,7779.87315840036,14034.0321986019,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,28133.5279784,24740.44887,22819.72531,26418.28029
"6","SSP5",2025,8773.20579433221,4031.19776335127,7687.40774445088,13943.2917022354,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,28404.0426705,24740.44887,22819.72531,26418.28029
"7","SSP5",2026,8843.01772461604,3998.78113903118,7592.89784875347,13847.0076536055,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,28674.5573626,24740.44887,22819.72531,26418.28029
"8","SSP5",2027,8892.67648894027,3969.71557881958,7517.67403426503,13783.6638029339,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,28945.0720547,24740.44887,22819.72531,26418.28029
"9","SSP5",2028,8941.40574215787,4037.21697538327,7792.25192453232,14342.9976051843,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,29215.5867468,24740.44887,22819.72531,26418.28029
"10","SSP5",2029,8980.45498322595,4149.26200615694,8227.83703080867,15195.7481394257,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,29486.1014389,24740.44887,22819.72531,26418.28029
"11","SSP5",2030,8923.47310269585,4079.31538101635,9317.47096552545,17267.6601052421,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,29756.616131,24740.44887,22819.72531,26418.28029
"12","SSP5",2031,9137.60638626508,4519.85054733718,9147.36973665682,16814.0013289116,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,30027.1308231,24740.44887,22819.72531,26418.28029
"13","SSP5",2032,9171.66596115345,4780.36603538009,9777.51275344168,17884.0578452156,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,30297.6455152,24740.44887,22819.72531,26418.28029
"14","SSP5",2033,9188.17810056077,4975.02745952529,10260.9897254836,18724.7718927147,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,30568.1602073,24740.44887,22819.72531,26418.28029
"15","SSP5",2034,9215.47358555875,5248.94114587475,10920.8595860675,19829.1562281429,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,30838.6748994,24740.44887,22819.72531,26418.28029
"16","SSP5",2035,9222.98258270124,5440.73204634842,11392.9614973373,20643.0460094137,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,31109.1895915,24740.44887,22819.72531,26418.28029
"17","SSP5",2036,9163.77699115473,5372.44792517068,12923.9381101742,23500.6823561275,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,31379.7042836,24740.44887,22819.72531,26418.28029
"18","SSP5",2037,9117.33748883356,5263.13886633055,14012.6977002898,25556.409392808,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,31650.2189757,24740.44887,22819.72531,26418.28029
"19","SSP5",2038,9113.55582770847,5451.80392371509,14188.3394803514,25832.5316550341,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,31920.7336678,24740.44887,22819.72531,26418.28029
"20","SSP5",2039,9112.01000169329,5646.21507861413,14079.600943512,25595.6214587072,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32191.2483599,24740.44887,22819.72531,26418.28029
"21","SSP5",2040,9107.4920699931,5844.65698730827,13683.9267986666,24843.8178965769,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"22","SSP5",2041,9389.17478555423,6294.46697529492,13397.4098799671,24144.0841054863,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"23","SSP5",2042,9671.65114214778,6463.99859057046,13517.0637742052,24194.7306519221,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"24","SSP5",2043,9923.84662149266,6567.62506871261,13462.2233692158,23972.3388984975,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"25","SSP5",2044,9948.1812816975,6518.55309853985,13390.6984240276,23965.5916048426,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"26","SSP5",2045,10191.2780995858,6420.37168716933,13150.8310876499,23668.0990637534,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"27","SSP5",2046,10178.0837457908,6416.5429142529,13241.1381565277,23963.9444180687,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"28","SSP5",2047,10416.3043285862,6529.7987547991,13127.9619477437,23637.6069587493,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"29","SSP5",2048,10553.3322823838,6582.59225968029,12978.8107381933,23289.6794235423,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"30","SSP5",2049,10571.5562521061,6620.33867489407,12924.9957899168,23169.9944163164,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"31","SSP5",2050,10592.0953097063,6660.67213913655,12882.7208717198,23070.835361555,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"32","SSP5",2051,10560.5296551215,6710.27328102664,13206.481504301,23747.8671112154,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"33","SSP5",2052,10500.5352443462,6581.26994087579,12902.1383740869,23318.404337076,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"34","SSP5",2053,10486.4332044502,6475.37785815513,12688.8069612459,23048.3005250519,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"35","SSP5",2054,10447.9825628697,6394.82490144005,12547.9602841669,22893.3853598106,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"36","SSP5",2055,10508.9325994433,6482.80506525373,12671.86278649,23066.519400422,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"37","SSP5",2056,10760.6639331235,6649.01584990587,12728.996480588,23027.6308180014,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"38","SSP5",2057,10830.9597465396,6797.19643668761,12723.4630640328,22864.350856127,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"39","SSP5",2058,10800.5157220529,6785.15029708394,12613.4858555085,22683.1316114243,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"40","SSP5",2059,10750.2180482907,6738.53962563232,12648.2055801951,22836.4486587322,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"41","SSP5",2060,10709.1111741839,6722.07041912266,12532.8768924176,22646.2573191733,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"42","SSP5",2061,11062.4064157362,6968.9677094675,13194.0390758693,23762.374827441,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"43","SSP5",2062,11289.1928977479,6912.68022374393,13205.3447860235,23899.0942823694,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"44","SSP5",2063,11517.802643674,6854.25555950896,13215.1954664018,24033.9314194867,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"45","SSP5",2064,11539.0882130654,6856.08577904128,13440.8523658717,24553.2144923258,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"46","SSP5",2065,11616.523488458,6825.20431850769,13467.9347800342,24688.2469633683,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"47","SSP5",2066,11829.0071830916,7131.85874419134,14017.2072195716,25491.3508001215,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"48","SSP5",2067,11983.3848293056,7336.12980805467,14202.5464671003,25643.6600247952,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"49","SSP5",2068,12095.5133169677,7513.95365932836,14370.9091390834,25797.9556816601,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"50","SSP5",2069,12194.457732983,7682.66864318049,14533.7786328985,25954.9968400042,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"51","SSP5",2070,12227.1108639062,7738.90392301676,14433.3967849138,25709.8805362451,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"52","SSP5",2071,12361.6996400155,8166.16642831696,15404.0559976559,27217.6652303912,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"53","SSP5",2072,12514.725977828,8116.82741214544,15303.690802546,27120.2239844473,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"54","SSP5",2073,12612.8377690612,8049.93886323608,15310.7549907729,27272.5258345308,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"55","SSP5",2074,12746.6117586056,7914.58846556271,15075.3351435368,27003.5983053173,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"56","SSP5",2075,12878.5013725825,7846.23492011486,15084.2802986038,27159.2250685963,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"57","SSP5",2076,13239.3624905492,7812.54184418504,14737.2016176196,26506.8193011066,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"58","SSP5",2077,13431.8326796116,7725.05141710813,14689.2080004465,26562.3392963197,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"59","SSP5",2078,13504.3631083605,7850.50423735754,14617.0001581162,26286.5240424237,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"60","SSP5",2079,13628.9353038825,8014.75152886915,14781.4114608795,26465.7436177596,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"61","SSP5",2080,13718.8438646838,8141.49283904843,14923.0194353157,26646.5550775745,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"62","SSP5",2081,13685.5071100764,8067.26037969505,14600.7593875359,26110.3704850925,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"63","SSP5",2082,13831.4183978279,7921.09801183119,14360.8902735588,25830.4584394632,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"64","SSP5",2083,13973.1386377777,7844.93094195349,14376.4369723604,25995.6710147104,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"65","SSP5",2084,14135.4998563027,7768.05463992549,14393.121779199,26165.1502682871,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"66","SSP5",2085,14281.7195184487,7636.9896036608,14174.9579299792,25901.5744806687,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"67","SSP5",2086,14534.1353353876,8049.07680624811,15035.3280866964,27252.9796470232,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"68","SSP5",2087,14620.8597785028,8276.09680372029,15234.4924764558,27428.4047602991,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"69","SSP5",2088,14590.4101381295,8341.63903511959,15334.5562715019,27598.9147876043,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"70","SSP5",2089,14551.0272102448,8398.77832681445,15430.0343609705,27771.2868775597,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"71","SSP5",2090,14507.0981566167,8389.59832575404,15286.7869308172,27526.3442546735,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"72","SSP5",2091,14251.0812628733,8154.27929117836,14782.2398949353,26791.6058367995,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"73","SSP5",2092,13968.3580201136,8059.97596983038,14784.5980745032,26945.8236254084,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"74","SSP5",2093,14055.8413938248,7898.9433826032,14558.471476703,26694.3588549661,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"75","SSP5",2094,14178.3893159847,7818.22711622952,14569.4538980804,26846.888361647,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"76","SSP5",2095,14369.0679635244,7797.14581988533,14614.7137046854,27001.4798294467,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"77","SSP5",2096,14402.444561456,8004.80087788439,15458.7132695038,28590.9491942618,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"78","SSP5",2097,14339.8578704962,8240.18592318839,16317.3968641189,30183.9997428509,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"79","SSP5",2098,14376.2558236378,8287.29947117465,16164.8063794254,29823.3857441985,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"80","SSP5",2099,14471.0156345669,8474.09792908829,16341.3881621472,29997.2848165328,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
"81","SSP5",2100,14581.9741512989,8701.33017923842,16539.6147874056,30165.7768592411,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,32461.763052,24740.44887,22819.72531,26418.28029
