Name		,Color
NWCons		,#00FF00FF
Bioenergy	,#0000B2B2
EA			,#00B28C00
EP			,#00FB9A99
IAfodder	,#00FF0000
IAfood		,#000000B2
PNNB		,#00FFFF00
MW			,#0000FF00		
AF			,#001F78B4
PNB			,#00FF7F00	
PNC			,#0000B200	
PNNC		,#00B27A7A
IP			,#00B2DF8A
SusAr		,#0000FFFF
VEP			,#0033A02C
Urban		,#00595959	
Lazy FR		,#00FFFFFF
