,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,NBroadleaf.suit,Tree.suit,Production
Food.crops ,0.04,0.02,0.1,0.05,0.5,0,0,0,1,0,0,0,0,0,0.05
Fodder.crops ,0.04,0.02,0.1,0.05,0.5,0,0,0,1,0,0,0,0,0,0.05
GF.redMeat,0.04,0.02,0.1,0.05,0,0.3,0.3,0,1,0,0,0,0,0,0.1
Fuel ,0.04,0.02,0.1,0.05,0,0,0,0.4,1,0,0,0,0,0,0.1
Softwood,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.1
Hardwood,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.1
Biodiversity,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.5
Carbon,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.6
Recreation,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.5
Flood.reg,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.4
Employment,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.6
Ldiversity,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,1
GF.milk,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.1
Sus.Prod,0.04,0.02,0.1,0.05,0,0,0,0,1,0,0,0,0,0,0.6
